name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Seadawn,367372000,USA,United States of America,Fishing,Trawler,428.78055555555545,ed088ba72-243a-b3ed-fb66-3790930cfab4,public-global-vessel-identity:v3.0
Mandy J,367147830,USA,United States of America,Fishing,Trawler,402.5674999999998,caa87b920-0c58-b4a7-95ec-a31e0f4600ce,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,336.0222222222221,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Arctic Fury,366468000,USA,United States of America,Fishing,Trawler,311.2136111111112,9404aba9d-d82d-48e5-efed-9db27f9734e4,public-global-vessel-identity:v3.0
Winona J,367479750,USA,United States of America,Fishing,Trawler,284.49111111111097,d5f0b2515-58ad-6aaa-855d-4b970966e3d8,public-global-vessel-identity:v3.0
Arctic Storm,368555000,USA,United States of America,Fishing,Trawler,280.0955555555554,2485f32cd-de00-01ac-77a6-42898bad2804,public-global-vessel-identity:v3.0
Mark I,303636000,USA,United States of America,Fishing,Trawler,275.80055555555555,f7a79cf89-9fa8-93c7-5b74-b2ae8aaee39f,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,271.8275,cdd99513f-f276-e737-5e5e-cdc1492b1fdf,public-global-vessel-identity:v3.0
Nordic Star,367056452,USA,United States of America,Fishing,Trawler,267.3738888888887,0b0834471-1991-45db-b747-ef98c090ce5d,public-global-vessel-identity:v3.0
Traveler,367153430,USA,United States of America,Fishing,Trawler,265.48833333333346,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Ocean Rover,368032000,USA,United States of America,Fishing,Trawler,265.3500000000001,0b4bdcc68-8086-7e9a-a82d-75057af1e460,public-global-vessel-identity:v3.0
Lisa Melinda,366738920,USA,United States of America,Fishing,Trawler,264.4144444444445,c05e6e833-36b9-e4ed-a1cd-718f83506fdc,public-global-vessel-identity:v3.0
Muir Milach,367672390,USA,United States of America,Fishing,Trawler,263.1763888888889,4730b07a8-8377-06f2-24c0-79399bf2a64e,public-global-vessel-identity:v3.0
Western   Dawn,366264360,USA,United States of America,Fishing,Trawler,254.21805555555565,d9951ed05-5e92-36f2-c0a1-c587c5b2c499,public-global-vessel-identity:v3.0
Western Seas,367384040,USA,United States of America,Fishing,Fishing,238.83416666666676,bfa7d8213-35d6-c4fa-73e8-daa59bde17e3,public-global-vessel-identity:v3.0
Lady Kaye,367153680,USA,United States of America,Fishing,Fishing,231.78611111111113,53e42262a-a326-3aae-cb9a-50666c34cf81,public-global-vessel-identity:v3.0
Miss Berdie,367341970,USA,United States of America,Fishing,Trawler,224.07055555555564,391a43b4a-a8fd-a521-e6ba-3d5ee37f057f,public-global-vessel-identity:v3.0
Timmy Boy,367500440,USA,United States of America,Fishing,Fishing,205.4316666666667,a88520a67-70f3-0ac9-094e-c9baaeb430d0,public-global-vessel-identity:v3.0
Dusk,366744320,USA,United States of America,Fishing,Trawler,178.7186111111112,3b050aeb8-8e91-303c-d249-266cd1a11252,public-global-vessel-identity:v3.0
Northern Jaeger,366046000,USA,United States of America,Fishing,Trawler,175.63916666666677,23da84e61-13c8-8cd0-02bd-58f68120ca6c,public-global-vessel-identity:v3.0
