name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Ossian,366773410,USA,United States of America,Fishing,Trawler,312.4033333333336,a30ac482e-e863-001e-346f-7e9e4dc62ebe,public-global-vessel-identity:v3.0
Taryn Rose,367473740,USA,United States of America,Fishing,Set longline,242.69083333333344,7104aca3c-c586-8788-5af6-8f2c9086c249,public-global-vessel-identity:v3.0
Muir Milach,367672390,USA,United States of America,Fishing,Trawler,241.62027777777755,4730b07a8-8377-06f2-24c0-79399bf2a64e,public-global-vessel-identity:v3.0
Pegasus,368572000,USA,United States of America,Fishing,Trawler,226.44555555555556,29dc546a1-1a7f-e828-624e-404e686ca074,public-global-vessel-identity:v3.0
Alaska Ocean,368293000,USA,United States of America,Fishing,Trawler,157.65472222222226,1ea00063d-dec8-5259-30ec-4cf48dc1ed09,public-global-vessel-identity:v3.0
Miss Berdie,368548000,USA,United States of America,Fishing,Trawler,154.56861111111115,98aad50e2-2696-6924-a71f-b2d8727ce79d,public-global-vessel-identity:v3.0
Miss-Sarah,368206000,USA,United States of America,Fishing,Trawler,151.46138888888896,450f24d03-3933-5933-177e-956425510f8d,public-global-vessel-identity:v3.0
Phoenix,366946000,USA,United States of America,Fishing,Trawler,137.14000000000007,77ca7b27b-b0b9-3cae-4241-c26a07e7b461,public-global-vessel-identity:v3.0
Ms Julie,366842490,USA,United States of America,Fishing,Trawler,118.64555555555555,f8949b9b3-3ece-8bfa-cc04-5187c799be58,public-global-vessel-identity:v3.0
Carter Jon,366969110,USA,United States of America,Fishing,Fishing,117.24805555555554,a87606a32-2ee3-bfc2-20bc-3397a7efb0bd,public-global-vessel-identity:v3.0
Ocean Rover,368032000,USA,United States of America,Fishing,Trawler,115.27666666666671,0b4bdcc68-8086-7e9a-a82d-75057af1e460,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,110.50888888888889,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,104.78833333333336,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Pearl J,367412590,USA,United States of America,Fishing,Fishing,101.58861111111113,3b924ae7d-dab5-2c3f-7329-4e9cba764410,public-global-vessel-identity:v3.0
Tabitha,368094990,USA,United States of America,Fishing,Trawler,101.25194444444443,173c23b2d-d925-c021-2ea8-5ba2e75585f2,public-global-vessel-identity:v3.0
Wrangler,367170860,USA,United States of America,Fishing,Trawler,97.60166666666666,12e680b99-9fa2-976b-35ee-e71e43028c60,public-global-vessel-identity:v3.0
Jamie Marie,366425240,USA,United States of America,Fishing,Trawler,95.29472222222218,e4794b991-14fb-2c9e-0cde-88274c46c66f,public-global-vessel-identity:v3.0
Starbound,367161000,USA,United States of America,Fishing,Trawler,94.87833333333329,db1cfbee2-29bf-5e3b-e80a-a3a62792749a,public-global-vessel-identity:v3.0
Pacific Ram,338494100,USA,United States of America,Fishing,Trawler,85.15999999999998,4a768058a-a4b8-35c3-27c7-4c0eee5ae936,public-global-vessel-identity:v3.0
Marathon,367085290,USA,United States of America,Fishing,Trawler,83.54166666666666,e7e88d830-0001-9d67-5620-ac72876ef65f,public-global-vessel-identity:v3.0
Mandy J,367664180,USA,United States of America,Fishing,Trawler,83.34361111111112,3bb7cece7-74fb-e5ee-4a64-e73fdf4960b0,public-global-vessel-identity:v3.0
Leslie Lee,338603000,USA,United States of America,Fishing,Trawler,78.57,ffd866dd7-7f97-7cab-60a2-46d52b006e89,public-global-vessel-identity:v3.0
Timmy Boy,367500440,USA,United States of America,Fishing,Fishing,67.9913888888889,a88520a67-70f3-0ac9-094e-c9baaeb430d0,public-global-vessel-identity:v3.0
Arctic Storm,368555000,USA,United States of America,Fishing,Trawler,65.13138888888889,e05594fb2-20f2-3aba-083a-44be954535d2,public-global-vessel-identity:v3.0
Island Enterprise,368037000,USA,United States of America,Fishing,Trawler,64.08694444444446,c7e7f3ac5-55a1-072d-9dd6-e1ad6514f94c,public-global-vessel-identity:v3.0
Swell Rider,367725050,USA,United States of America,Fishing,Trawler,63.85833333333332,2bdae5bf7-7850-fa1f-c174-02346fcbb65d,public-global-vessel-identity:v3.0
Predator,368565000,USA,United States of America,Fishing,Trawler,62.230000000000004,edae4cd05-50b0-1691-27b2-67c10efe1418,public-global-vessel-identity:v3.0
Alex,366788850,USA,United States of America,Fishing,Fishing,59.96194444444445,bc29946f2-2b0b-9613-054a-cd59327226d9,public-global-vessel-identity:v3.0
Cap Elza,367701130,USA,United States of America,Fishing,Trawler,58.91583333333334,e3cee92bf-f477-e94a-1125-51e450064f2e,public-global-vessel-identity:v3.0
Sea Clipper,366765940,USA,United States of America,Fishing,Trawler,56.408888888888875,612485d68-8e22-ed6a-1650-ab89009cf373,public-global-vessel-identity:v3.0
Stormie C,367635760,USA,United States of America,Fishing,Fishing,56.181666666666636,fee5610c9-94b5-f009-f6d5-700b7f35fb79,public-global-vessel-identity:v3.0
Lisa Melinda,366738920,USA,United States of America,Fishing,Trawler,55.626944444444455,c05e6e833-36b9-e4ed-a1cd-718f83506fdc,public-global-vessel-identity:v3.0
Lady Kaye,367153680,USA,United States of America,Fishing,Fishing,53.985000000000014,53e42262a-a326-3aae-cb9a-50666c34cf81,public-global-vessel-identity:v3.0
Betty H,367191940,USA,United States of America,Fishing,Fishing,53.31,d4eea1cbd-d3d0-b2c4-ccdb-e5e234110bcc,public-global-vessel-identity:v3.0
Jeanette Marrie,367335360,USA,United States of America,Fishing,Trawler,51.990277777777784,e2a926af2-25d3-524b-3a61-79b104450645,public-global-vessel-identity:v3.0
Northern Jaeger,366046000,USA,United States of America,Fishing,Trawler,49.6563888888889,23da84e61-13c8-8cd0-02bd-58f68120ca6c,public-global-vessel-identity:v3.0
Texas Lady,367721920,USA,United States of America,Fishing,Trawler,48.226388888888884,53f8f2ab3-3e51-38b3-3d93-8993ea1aa346,public-global-vessel-identity:v3.0
Endeavor,367327250,USA,United States of America,Fishing,Troller,47.9463888888889,4aa57cf3b-bb66-41ea-f41b-280ebd1e8a02,public-global-vessel-identity:v3.0
American Triumph,366047000,USA,United States of America,Fishing,Trawler,47.02722222222223,9cd111a46-6768-574b-61c2-a766c548b7bd,public-global-vessel-identity:v3.0
Arctic Ram,366408250,USA,United States of America,Fishing,Trawler,45.42555555555556,20a7fbc47-739f-b066-840b-f87a7fbb8240,public-global-vessel-identity:v3.0
Western   Dawn,366264360,USA,United States of America,Fishing,Trawler,44.756666666666646,a3fcbc13b-b33b-b836-ef35-14e94f148e73,public-global-vessel-identity:v3.0
Bay Islander,367707330,USA,United States of America,Fishing,Trawler,44.180277777777775,b8701df7a-ae67-e93e-fcb3-886e9beb8f71,public-global-vessel-identity:v3.0
New Life,367388280,USA,United States of America,Fishing,Trawler,43.63444444444446,3926fd4ed-dc74-38b6-e1c6-27f3a0672ccd,public-global-vessel-identity:v3.0
Winona J,367664510,USA,United States of America,Fishing,Trawler,41.38083333333334,40fb2fd55-51af-87a7-c2fc-a1270ebce353,public-global-vessel-identity:v3.0
Pacific Conquest,367161930,USA,United States of America,Fishing,Trawler,40.78527777777777,4f1b7c273-35a7-1fd6-20d4-ed0a116f7970,public-global-vessel-identity:v3.0
Majesty,367352000,USA,United States of America,Fishing,Trawler,37.39944444444444,e258e2fdb-b635-d70e-90d2-9aacacc3dc11,public-global-vessel-identity:v3.0
Ocean Hunter,367638480,USA,United States of America,Fishing,Trawler,37.113055555555555,a77bf9611-136e-74f8-3636-43ecc219360e,public-global-vessel-identity:v3.0
Dusk,366744320,USA,United States of America,Fishing,Trawler,37.01305555555556,0da11ca87-7b04-66e1-8fdc-745e0a82a570,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,36.086111111111116,2d173aca7-738a-6608-21f2-3672bba5e264,public-global-vessel-identity:v3.0
Blue Dolphin,367059190,USA,United States of America,Fishing,Inconclusive,35.03194444444444,1fa6143d8-8a1a-f025-9159-78a697ab8274,public-global-vessel-identity:v3.0
Pacific,366207650,USA,United States of America,Fishing,Trawler,34.140277777777776,7656e7e08-8d6f-76a2-9ba1-cc788aac94da,public-global-vessel-identity:v3.0
Western Seas,367384040,USA,United States of America,Fishing,Fishing,33.26944444444445,bfa7d8213-35d6-c4fa-73e8-daa59bde17e3,public-global-vessel-identity:v3.0
Prospctor,367428110,USA,United States of America,Fishing,Trawler,32.48250000000001,6e815e26a-a38f-96c3-c6d0-92c917418206,public-global-vessel-identity:v3.0
Triple Star,367667160,USA,United States of America,Fishing,Trawler,32,22ace3ec9-91b6-631e-9fb2-475ab22f488f,public-global-vessel-identity:v3.0
Coast Pride3333,367356180,USA,United States of America,Fishing,Fishing,31.705277777777777,9e50b8064-4c1d-c277-6f49-e1aa66c3c4f5,public-global-vessel-identity:v3.0
Excalibur,367664560,USA,United States of America,Fishing,Trawler,31.436111111111103,a008da33f-fcb9-e953-1ee5-f0e7046bd69c,public-global-vessel-identity:v3.0
Pacific Dove,367171980,USA,United States of America,Fishing,Fishing,29.73972222222222,dcc11c79c-c22b-bab5-2178-8cc37d0867f0,public-global-vessel-identity:v3.0
Northern Eagle,368085000,USA,United States of America,Fishing,Trawler,27.565833333333334,a401e743a-a6e5-5102-c90e-c52bdcadddb1,public-global-vessel-identity:v3.0
Noyo Dawn,367763660,USA,United States of America,Fishing,Trawler,26.397777777777772,c167eae3f-fc30-0469-a939-3ea2b9e5d1c5,public-global-vessel-identity:v3.0
Bernadette,366233570,USA,United States of America,Fishing,Trawler,26.129722222222224,454a28f85-56e4-93cb-efa6-ff786439e8da,public-global-vessel-identity:v3.0
Pacific Future,367046890,USA,United States of America,Fishing,Trawler,25.375277777777775,0493a33b0-035d-1477-791f-2ae4c7373295,public-global-vessel-identity:v3.0
Coho,367331760,USA,United States of America,Fishing,Trawler,24.282500000000002,23f8d2c62-2a1e-d203-5be1-7fcc324f1c9b,public-global-vessel-identity:v3.0
F/V Libra,367174580,USA,United States of America,Fishing,Fishing,23.832777777777775,c71f9262c-cb2b-8c81-b6f4-31081cef2c3a,public-global-vessel-identity:v3.0
Galway Bay,367320010,USA,United States of America,Fishing,Trawler,20.21416666666667,9e0ec8362-2c04-ecff-4da5-b3d823c4b089,public-global-vessel-identity:v3.0
Raven,367774000,USA,United States of America,Fishing,Trawler,19.494444444444444,2a4e096d4-4b9e-b3e3-01bd-585e21eaccbd,public-global-vessel-identity:v3.0
Peso II,367020280,USA,United States of America,Fishing,Fishing,18.033611111111114,057c0ac26-6722-cf4e-23b3-79164673a6e6,public-global-vessel-identity:v3.0
Mistasea,338200347,USA,United States of America,Fishing,Fishing,17.47138888888889,fc8e87887-7507-8017-c69f-c2f97d945809,public-global-vessel-identity:v3.0
Noahs Ark,366934770,USA,United States of America,Fishing,Trawler,16.185555555555556,e5943e3b0-0a33-28ca-3e67-1015e6f305c8,public-global-vessel-identity:v3.0
Tauny Ann,367019070,USA,United States of America,Fishing,Fishing,14.553611111111111,242fa3fbf-fa03-eb47-5855-f0880b8e7acf,public-global-vessel-identity:v3.0
Mary Lu,367543160,USA,United States of America,Fishing,Trawler,13.455555555555557,59c808f10-02c6-0da3-29d4-4d4985322b2f,public-global-vessel-identity:v3.0
Nordic Star,367056452,USA,United States of America,Fishing,Trawler,13.3375,0b0834471-1991-45db-b747-ef98c090ce5d,public-global-vessel-identity:v3.0
Calogera,367143260,USA,United States of America,Fishing,Fishing,11.151944444444444,1a886b81f-f624-fc8e-d0e3-ee7d1b74dd01,public-global-vessel-identity:v3.0
Last Straw,366245070,USA,United States of America,Fishing,Trawler,10.4925,ab1f9d1fb-bafe-e542-b0f2-a41d6c5bb85b,public-global-vessel-identity:v3.0
Lady Law,367084010,USA,United States of America,Fishing,Trawler,10.031944444444447,1aa24e054-4ef5-f0de-da96-0bff6afcba3b,public-global-vessel-identity:v3.0
Patriot,367616260,USA,United States of America,Fishing,Trawler,9.375277777777779,05e9d2d1a-a955-f537-03fa-bd3971478751,public-global-vessel-identity:v3.0
Catalyst,367531350,USA,United States of America,Fishing,Fishing,9.239722222222222,79174cefe-ee6f-81ed-b919-86e10e6a7ca2,public-global-vessel-identity:v3.0
Pisces,367555720,USA,United States of America,Fishing,Set gillnet,8.912500000000001,4a65905e3-3761-0276-a31e-7f011acf2449,public-global-vessel-identity:v3.0
Zora Belle,369501000,USA,United States of America,Fishing,Fishing,8.754166666666666,37d80be97-7ec1-917b-b8a6-b33593af9037,public-global-vessel-identity:v3.0
Kaya C,367595030,USA,United States of America,Fishing,Fishing,8.689166666666665,4042cca31-1d18-dab2-3dc9-ab3967c54665,public-global-vessel-identity:v3.0
Karen Jeanne,338173579,USA,United States of America,Fishing,Fishing,8.429722222222223,fdfc149cc-ce3e-7be5-bb19-3fa79b7d72c1,public-global-vessel-identity:v3.0
Dynamik,366806770,USA,United States of America,Fishing,Trawler,7.581944444444445,0c1ae0f4b-bc46-d426-1bd9-a2f7b46d060c,public-global-vessel-identity:v3.0
Little Joe,367318950,USA,United States of America,Fishing,Trawler,7.217777777777777,2aba11d84-42f0-7e83-b607-a72457640829,public-global-vessel-identity:v3.0
Jean C.,367152840,USA,United States of America,Fishing,Fishing,6.596388888888889,bb8d58e7e-e201-9468-c4b7-6fb07b335df6,public-global-vessel-identity:v3.0
