name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Traveler,367153430,USA,United States of America,Fishing,Trawler,319.4394444,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Michele Ann,367331060,USA,United States of America,Fishing,Fishing,261.1113889,e3ac855ed-d0da-f025-3d9f-6651cb921fd5,public-global-vessel-identity:v3.0
Miss Berdie,367341970,USA,United States of America,Fishing,Trawler,254.7041667,391a43b4a-a8fd-a521-e6ba-3d5ee37f057f,public-global-vessel-identity:v3.0
Seadawn,367372000,USA,United States of America,Fishing,Trawler,248.8841667,ed088ba72-243a-b3ed-fb66-3790930cfab4,public-global-vessel-identity:v3.0
Marathon,367085290,USA,United States of America,Fishing,Trawler,240.8030556,e7e88d830-0001-9d67-5620-ac72876ef65f,public-global-vessel-identity:v3.0
Perseverance,367618000,USA,United States of America,Fishing,Trawler,236.4947222,7e99a8fba-aa09-3c2c-c1eb-6d420c49318f,public-global-vessel-identity:v3.0
American Dynasty,368272000,USA,United States of America,Fishing,Trawler,225.0411111,60b6acf5e-e5f7-e7d9-fbd3-e663107983e2,public-global-vessel-identity:v3.0
Nordic Star,367056452,USA,United States of America,Fishing,Trawler,217.3822222,0b0834471-1991-45db-b747-ef98c090ce5d,public-global-vessel-identity:v3.0
Pacific Challenger,367326360,USA,United States of America,Fishing,Trawler,216.3788889,c50c30625-50b2-06ad-108e-58de59e7dcda,public-global-vessel-identity:v3.0
Leslie Lee,338603000,USA,United States of America,Fishing,Trawler,212.9930556,ffd866dd7-7f97-7cab-60a2-46d52b006e89,public-global-vessel-identity:v3.0
Hickory Wind,367504570,USA,United States of America,Fishing,Trawler,210.3205556,70d0a401b-b278-e9ee-5acc-bba255143fd3,public-global-vessel-identity:v3.0
Kodiak Enterprise,368038000,USA,United States of America,Fishing,Trawler,208.4044444,021512b04-4abb-120f-21bd-47f6d55f8e23,public-global-vessel-identity:v3.0
Arctic Fury,366468000,USA,United States of America,Fishing,Trawler,203.5775,720db63ef-fb15-6d23-7893-d190ce3ec84d,public-global-vessel-identity:v3.0
Mandy J,367147830,USA,United States of America,Fishing,Trawler,202.9347222,caa87b920-0c58-b4a7-95ec-a31e0f4600ce,public-global-vessel-identity:v3.0
Coast Pride3333,367356180,USA,United States of America,Fishing,Fishing,193.3591667,eabdafce3-3e24-7654-16c7-4b7839ced37c,public-global-vessel-identity:v3.0
Lisa Melinda,366738920,USA,United States of America,Fishing,Trawler,180.8033333,c05e6e833-36b9-e4ed-a1cd-718f83506fdc,public-global-vessel-identity:v3.0
Seattle Enterprise,369604000,USA,United States of America,Fishing,Trawler,171.4313889,bcbc34962-2a13-a2a1-1fdf-f9ec505e4e02,public-global-vessel-identity:v3.0
Miss-Sarah,368206000,USA,United States of America,Fishing,Trawler,163.8830556,450f24d03-3933-5933-177e-956425510f8d,public-global-vessel-identity:v3.0
Alaska Ocean,368293000,USA,United States of America,Fishing,Trawler,161.6127778,1ea00063d-dec8-5259-30ec-4cf48dc1ed09,public-global-vessel-identity:v3.0
Muir Milach,367672390,USA,United States of America,Fishing,Trawler,156.9788889,4730b07a8-8377-06f2-24c0-79399bf2a64e,public-global-vessel-identity:v3.0
Arctic Fjord,366860000,USA,United States of America,Fishing,Trawler,145.7558333,1c342d7c3-3ffd-16e6-261a-bd1589ed6cb2,public-global-vessel-identity:v3.0
Phoenix,366946000,USA,United States of America,Fishing,Trawler,144.7133333,77ca7b27b-b0b9-3cae-4241-c26a07e7b461,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,137.9216667,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Western   Dawn,366264360,USA,United States of America,Fishing,Trawler,133.1494444,a3fcbc13b-b33b-b836-ef35-14e94f148e73,public-global-vessel-identity:v3.0
Arctic Storm,368555000,USA,United States of America,Fishing,Trawler,132.5611111,e05594fb2-20f2-3aba-083a-44be954535d2,public-global-vessel-identity:v3.0
Northern Eagle,368085000,USA,United States of America,Fishing,Trawler,116.2525,a401e743a-a6e5-5102-c90e-c52bdcadddb1,public-global-vessel-identity:v3.0
Island Enterprise,368037000,USA,United States of America,Fishing,Trawler,116.1961111,c7e7f3ac5-55a1-072d-9dd6-e1ad6514f94c,public-global-vessel-identity:v3.0
Seeker,368578000,USA,United States of America,Fishing,Trawler,115.7061111,cdd99513f-f276-e737-5e5e-cdc1492b1fdf,public-global-vessel-identity:v3.0
Pacific Miner,368071680,USA,United States of America,Fishing,Fishing,115.1105556,4c2fbb055-5cea-0c37-920e-7e06442d18d5,public-global-vessel-identity:v3.0
Ocean Rover,368032000,USA,United States of America,Fishing,Trawler,112.6725,0b4bdcc68-8086-7e9a-a82d-75057af1e460,public-global-vessel-identity:v3.0
Nordic Fury,366978060,USA,United States of America,Fishing,Trawler,111.4133333,79d7c1cb7-7453-f606-3585-f5f2c680e84b,public-global-vessel-identity:v3.0
Celtic Aire,367638580,USA,United States of America,Fishing,Fishing,110.8011111,256366c8c-c96e-304a-60c6-52bcbea499e3,public-global-vessel-identity:v3.0
Mandy J,367147830,USA,United States of America,Fishing,Trawler,100.8541667,c47928cc8-8574-d955-7270-f7209e938bd0,public-global-vessel-identity:v3.0
Mark I,303636000,USA,United States of America,Fishing,Trawler,98.19416667,f7a79cf89-9fa8-93c7-5b74-b2ae8aaee39f,public-global-vessel-identity:v3.0
