name,MMSI,flag,flag translated,GFW vessel type,GFW gear type,hours,vesselId,dataset
Ossian,366773410,USA,United States of America,Fishing,Trawler,379.3933333333335,a30ac482e-e863-001e-346f-7e9e4dc62ebe,public-global-vessel-identity:v3.0
Mandy J,367147830,USA,United States of America,Fishing,Trawler,336.0347222222223,c47928cc8-8574-d955-7270-f7209e938bd0,public-global-vessel-identity:v3.0
Unknown vessel,366842490,USA,United States of America,Fishing,Trawler,240.06305555555565,ae1c67a67-7fcb-3f42-6e5c-80f3470c48ab,public-global-vessel-identity:v3.0
Traveler,367153430,USA,United States of America,Fishing,Trawler,239.3641666666667,74a1f7c0c-c04c-2235-66a8-1c240dafebaf,public-global-vessel-identity:v3.0
Mark I,303636000,USA,United States of America,Fishing,Trawler,223.64361111111108,f7a79cf89-9fa8-93c7-5b74-b2ae8aaee39f,public-global-vessel-identity:v3.0
Miss Sue,366207630,USA,United States of America,Fishing,Trawler,219.7883333333334,39d154947-7b8a-12f6-9bd3-cf5040134c25,public-global-vessel-identity:v3.0
Seadawn,367372000,USA,United States of America,Fishing,Trawler,169.80027777777767,ed088ba72-243a-b3ed-fb66-3790930cfab4,public-global-vessel-identity:v3.0
Pacific,366207650,USA,United States of America,Fishing,Trawler,156.688888888889,fb0ff83f8-8cda-5ebd-41ed-80fffd40aa06,public-global-vessel-identity:v3.0
Winona J,367479750,USA,United States of America,Fishing,Trawler,147.28777777777788,d5f0b2515-58ad-6aaa-855d-4b970966e3d8,public-global-vessel-identity:v3.0
Sea Storm,367078130,USA,United States of America,Fishing,Other,128.2944444444445,aa1097a18-83d5-5759-82a5-f3f37e86db6f,public-global-vessel-identity:v3.0
Perseverance,367618000,USA,United States of America,Fishing,Trawler,104.1383333333333,7e99a8fba-aa09-3c2c-c1eb-6d420c49318f,public-global-vessel-identity:v3.0
Timmy Boy,367500440,USA,United States of America,Fishing,Fishing,95.49222222222222,a88520a67-70f3-0ac9-094e-c9baaeb430d0,public-global-vessel-identity:v3.0
Miss Berdie,367341970,USA,United States of America,Fishing,Trawler,77.36944444444441,391a43b4a-a8fd-a521-e6ba-3d5ee37f057f,public-global-vessel-identity:v3.0
